Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_4_kappa_0,2,1691.824834,2458691.825,1.072351395,-2.175572809,4000,1,0.516457492,972000,2.106775327
M_219101992_4_kappa_0,3,1694.515106,2458694.515,1.05735938,-2.384796847,4000,1,0.054511767,972000,0.908164906
M_219101992_4_kappa_0,4,1704.9609,2458704.961,1.088451295,-2.67109879,4000,1,0.143670538,972000,1.370849326
M_219101992_4_kappa_0,2,1706.216451,2458706.216,1.248296048,-2.769152877,4000,1,0.810066799,972000,0.66936726
M_219101992_4_kappa_0,1,1690.255395,2458690.255,1.362974636,-2.849372391,4000,1,0.713366761,972000,0.560275606
M_219101992_4_kappa_0,2,1690.567894,2458690.568,1.663446861,-3.553770413,4000,1,0.775866549,972000,0.330781739
M_219101992_4_kappa_0,1,1687.404017,2458687.404,0.789033158,-2.499203339,4000,1,0.109633807,972000,7.113514116
M_219101992_4_kappa_0,2,1692.165111,2458692.165,0.882521328,-2.49338168,4000,1,0.061852655,972000,3.147775559
M_219101992_4_kappa_0,3,1698.731761,2458698.732,1.083820847,-2.704545721,4000,1,0.375182525,972000,2.027378026
M_219101992_4_kappa_0,1,1685.799857,2458685.8,1.471251128,-3.074809013,4000,1,0.225313024,972000,0.595198957
M_219101992_4_kappa_0,3,1705.722008,2458705.722,1.204943484,-2.773167959,4000,1,0.209743193,972000,0.848541783
M_219101992_4_kappa_0,1,1703.819237,2458703.819,1.048752574,-2.22318047,4000,1,0.993653981,972000,0.322056286
M_219101992_4_kappa_0,1,1689.497064,2458689.497,0.963856215,-2.733496892,4000,1,0.725247372,972000,4.61411175
M_219101992_4_kappa_0,1,1704.510901,2458704.511,1.524831593,-3.247210813,4000,1,0.792513617,972000,0.40982071
M_219101992_4_kappa_0,1,1697.530378,2458697.53,1.322399979,-2.582281317,4000,1,0.454899908,972000,0.452357831
M_219101992_4_kappa_0,3,1708.422001,2458708.422,1.307476467,-2.434996085,4000,1,0.633224434,972000,1.310671594
M_219101992_4_kappa_0,1,1692.692888,2458692.693,1.338790805,-2.634171103,4000,1,0.256816288,972000,0.385160509
M_219101992_4_kappa_0,1,1702.538687,2458702.539,1.403026448,-2.841007047,4000,1,0.517768485,972000,0.350607929
M_219101992_4_kappa_0,3,1704.256736,2458704.257,0.996056885,-2.158583228,4000,1,0.861378213,972000,0.4415989
M_219101992_5_kappa_0,1,1689.844285,2458689.844,1.447657125,-2.940622122,4000,1,0.929066283,972000,0.422401654
M_219101992_5_kappa_0,2,1690.545672,2458690.546,1.641889776,-2.391873662,4000,1,0.069343577,972000,0.197072471
